Algorithm,ImputerNum,ImputerCat,Imbalance,Metrics,Score
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-Recall,0.9068367493191917
KNN,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-Recall,0.9922602837895944
SVM,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-Recall,0.9848072237351297
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-Recall,0.971907696717787
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-Recall,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-Recall,0.9068367493191917
KNN,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-Recall,0.9922602837895944
SVM,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-Recall,0.9848072237351297
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-Recall,0.971907696717787
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-Recall,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-Recall,0.9068367493191917
KNN,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-Recall,0.9922602837895944
SVM,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-Recall,0.9848072237351297
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-Recall,0.971907696717787
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-Recall,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-Recall,0.9068367493191917
KNN,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-Recall,0.9922602837895944
SVM,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-Recall,0.9848072237351297
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Recall,0.9713795077275329
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Recall,1.0
