Algorithm,ImputerNum,ImputerCat,Imbalance,Metrics,Score
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-FN,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-FN,642.0
KNN,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-FN,69.0
SVM,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-FN,91.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FN,189.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FN,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FN,601.0
KNN,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FN,80.0
SVM,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FN,110.0
LogisticRegression,KNNImptuer,SimpleImputer_mode,SMOTE,Train-FN,183.0
DecisionTree,KNNImptuer,SimpleImputer_mode,SMOTE,Train-FN,0.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,SMOTE,Train-FN,634.0
KNN,KNNImptuer,SimpleImputer_mode,SMOTE,Train-FN,65.0
SVM,KNNImptuer,SimpleImputer_mode,SMOTE,Train-FN,95.0
LogisticRegression,KNNImptuer,SimpleImputer_mode,ADASYN,Train-FN,183.0
DecisionTree,KNNImptuer,SimpleImputer_mode,ADASYN,Train-FN,0.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,ADASYN,Train-FN,634.0
KNN,KNNImptuer,SimpleImputer_mode,ADASYN,Train-FN,65.0
SVM,KNNImptuer,SimpleImputer_mode,ADASYN,Train-FN,95.0
LogisticRegression,KNNImptuer,SimpleImputer_mode,OriginalData,Train-FN,183.0
DecisionTree,KNNImptuer,SimpleImputer_mode,OriginalData,Train-FN,0.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,OriginalData,Train-FN,634.0
KNN,KNNImptuer,SimpleImputer_mode,OriginalData,Train-FN,65.0
SVM,KNNImptuer,SimpleImputer_mode,OriginalData,Train-FN,95.0
LogisticRegression,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-FN,187.0
DecisionTree,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-FN,0.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-FN,609.0
KNN,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-FN,79.0
SVM,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-FN,98.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Recall,0.9731976494195212
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Recall,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Recall,0.9079833739429555
KNN,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Recall,0.9901103626200373
SVM,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Recall,0.9869571449046868
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Recall,0.9731976494195212
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Recall,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Recall,0.9079833739429555
KNN,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Recall,0.9901103626200373
SVM,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Recall,0.9869571449046868
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-Recall,0.9731976494195212
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-Recall,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-Recall,0.9079833739429555
KNN,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-Recall,0.9901103626200373
SVM,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-Recall,0.9869571449046868
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Recall,0.9729536348025186
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Recall,1.0
