Algorithm,Imputer,Imbalance,Metric,Score
LogisticRegression,KNNImptuer_SimpleImputer_mode,OriginalData,Train-FP,14700.0
DecisionTree,KNNImptuer_SimpleImputer_mode,OriginalData,Train-FP,0.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,OriginalData,Train-FP,24700.0
KNN,KNNImptuer_SimpleImputer_mode,OriginalData,Train-FP,17800.0
SVM,KNNImptuer_SimpleImputer_mode,OriginalData,Train-FP,14800.0
LogisticRegression,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-FP,12600.0
DecisionTree,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-FP,0.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-FP,24100.0
KNN,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-FP,18400.0
SVM,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-FP,12900.0
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-TN,684000.0
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-TN,698700.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-TN,674000.0
KNN,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-TN,680900.0
SVM,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-TN,685100.0
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-TN,684000.0
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-TN,698700.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-TN,674000.0
KNN,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-TN,680900.0
SVM,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-TN,685100.0
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-TN,684000.0
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-TN,698700.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-TN,674000.0
KNN,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-TN,680900.0
SVM,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-TN,685100.0
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-TN,684100.0
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-TN,697600.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-TN,673800.0
KNN,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-TN,679800.0
SVM,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-TN,684700.0
LogisticRegression,KNNImptuer_SimpleImputer_mode,SMOTE,Train-TN,684000.0
DecisionTree,KNNImptuer_SimpleImputer_mode,SMOTE,Train-TN,698700.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,SMOTE,Train-TN,674000.0
KNN,KNNImptuer_SimpleImputer_mode,SMOTE,Train-TN,680900.0
SVM,KNNImptuer_SimpleImputer_mode,SMOTE,Train-TN,683900.0
LogisticRegression,KNNImptuer_SimpleImputer_mode,ADASYN,Train-TN,684000.0
DecisionTree,KNNImptuer_SimpleImputer_mode,ADASYN,Train-TN,698700.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,ADASYN,Train-TN,674000.0
KNN,KNNImptuer_SimpleImputer_mode,ADASYN,Train-TN,680900.0
SVM,KNNImptuer_SimpleImputer_mode,ADASYN,Train-TN,683900.0
LogisticRegression,KNNImptuer_SimpleImputer_mode,OriginalData,Train-TN,684000.0
DecisionTree,KNNImptuer_SimpleImputer_mode,OriginalData,Train-TN,698700.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,OriginalData,Train-TN,674000.0
KNN,KNNImptuer_SimpleImputer_mode,OriginalData,Train-TN,680900.0
SVM,KNNImptuer_SimpleImputer_mode,OriginalData,Train-TN,683900.0
LogisticRegression,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-TN,685000.0
DecisionTree,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-TN,697600.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-TN,673500.0
KNN,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-TN,679200.0
SVM,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-TN,684700.0
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-FN,20300.0
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-FN,0.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-FN,64000.0
KNN,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-FN,6600.0
SVM,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-FN,9600.0
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-FN,20300.0
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-FN,0.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-FN,64000.0
KNN,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-FN,6600.0
SVM,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-FN,9600.0
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-FN,20300.0
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-FN,0.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-FN,64000.0
KNN,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-FN,6600.0
SVM,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-FN,9600.0
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-FN,20600.0
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-FN,0.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-FN,61700.0
KNN,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-FN,7400.0
SVM,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-FN,10300.0
LogisticRegression,KNNImptuer_SimpleImputer_mode,SMOTE,Train-FN,19000.0
DecisionTree,KNNImptuer_SimpleImputer_mode,SMOTE,Train-FN,0.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,SMOTE,Train-FN,65000.0
KNN,KNNImptuer_SimpleImputer_mode,SMOTE,Train-FN,6600.0
SVM,KNNImptuer_SimpleImputer_mode,SMOTE,Train-FN,7500.0
LogisticRegression,KNNImptuer_SimpleImputer_mode,ADASYN,Train-FN,19000.0
DecisionTree,KNNImptuer_SimpleImputer_mode,ADASYN,Train-FN,0.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,ADASYN,Train-FN,65000.0
KNN,KNNImptuer_SimpleImputer_mode,ADASYN,Train-FN,6600.0
SVM,KNNImptuer_SimpleImputer_mode,ADASYN,Train-FN,7500.0
LogisticRegression,KNNImptuer_SimpleImputer_mode,OriginalData,Train-FN,19000.0
DecisionTree,KNNImptuer_SimpleImputer_mode,OriginalData,Train-FN,0.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,OriginalData,Train-FN,65000.0
KNN,KNNImptuer_SimpleImputer_mode,OriginalData,Train-FN,6600.0
SVM,KNNImptuer_SimpleImputer_mode,OriginalData,Train-FN,7500.0
LogisticRegression,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-FN,20400.0
DecisionTree,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-FN,0.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-FN,62700.0
KNN,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-FN,7200.0
SVM,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-FN,10600.0
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-Recall,97.09
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-Recall,100.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-Recall,90.83
KNN,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-Recall,99.05
SVM,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-Recall,98.62
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-Recall,97.09
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-Recall,100.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-Recall,90.83
KNN,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-Recall,99.05
SVM,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-Recall,98.62
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-Recall,97.09
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-Recall,100.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-Recall,90.83
KNN,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-Recall,99.05
SVM,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-Recall,98.62
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-Recall,97.05
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-Recall,100.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-Recall,91.17
KNN,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-Recall,98.94
SVM,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-Recall,98.53
LogisticRegression,KNNImptuer_SimpleImputer_mode,SMOTE,Train-Recall,97.28
DecisionTree,KNNImptuer_SimpleImputer_mode,SMOTE,Train-Recall,100.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,SMOTE,Train-Recall,90.68
KNN,KNNImptuer_SimpleImputer_mode,SMOTE,Train-Recall,99.05
SVM,KNNImptuer_SimpleImputer_mode,SMOTE,Train-Recall,98.93
LogisticRegression,KNNImptuer_SimpleImputer_mode,ADASYN,Train-Recall,97.28
DecisionTree,KNNImptuer_SimpleImputer_mode,ADASYN,Train-Recall,100.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,ADASYN,Train-Recall,90.68
KNN,KNNImptuer_SimpleImputer_mode,ADASYN,Train-Recall,99.05
