Algorithm,Imputer,Imbalance,Metric,Score
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,96.78
RandomForest,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,96.09
Bagging,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,99.67
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,94.74
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,86.91
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,96.42
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,96.36
RandomForest,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,95.95
Bagging,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,99.71
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,92.24
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,84.64
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,92.1
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,92.7
RandomForest,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,92.66
Bagging,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,99.33
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,96.72
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,85.22
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,95.51
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,97.58
RandomForest,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,98.06
Bagging,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,99.83
LogisticRegression,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,95.23
DecisionTree,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,87.3
KNN,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,96.48
SVM,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,96.76
RandomForest,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,95.98
Bagging,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,99.61
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,6789.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,6977.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,6308.0
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,6921.0
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,6889.0
RandomForest,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,6977.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,6795.0
Bagging,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,6962.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,6790.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,7003.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,6354.0
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,6934.0
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,6885.0
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,7003.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,6834.0
Bagging,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,6992.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,2137.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,2291.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,2017.0
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,2120.0
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,2140.0
RandomForest,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,2291.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,2143.0
Bagging,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,2277.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,2318.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,2339.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,2066.0
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,2277.0
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,2337.0
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,2339.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,2333.0
Bagging,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,2339.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-TP,6787.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-TP,6977.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-TP,6318.0
KNN,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-TP,6895.0
SVM,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-TP,6876.0
RandomForest,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-TP,6977.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-TP,6802.0
Bagging,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-TP,6958.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,6781.0
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,6977.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,6326.0
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,6918.0
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,6889.0
RandomForest,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,6977.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,6804.0
Bagging,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,6962.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,6771.0
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,6972.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,6303.0
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,6915.0
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,6882.0
RandomForest,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,6972.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,6787.0
