Algorithm,Imputer,Imbalance,Metric,Score
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TN,6844.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TN,6840.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TN,6987.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TN,6739.0
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TN,6799.0
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TN,6844.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TN,6851.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TN,6976.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TN,6736.0
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TN,6783.0
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TN,6846.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TN,6836.0
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TN,6987.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TN,6741.0
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TN,6804.0
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TN,6842.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TN,6836.0
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TN,6987.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TN,6741.0
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TN,6804.0
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TN,6842.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TN,6836.0
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TN,6987.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TN,6741.0
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TN,6804.0
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TN,6842.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-TN,6849.0
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-TN,6976.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-TN,6736.0
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-TN,6796.0
